时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,河北省,容城,2,6.2,-5.1,3.7
1981年-2010年,河北省,容城,3,12.9,1.1,10
1981年-2010年,河北省,容城,4,21.3,8.6,20.8
1981年-2010年,河北省,容城,5,27,14.4,33.4
1981年-2010年,河北省,容城,6,31.3,19.4,60.9
1981年-2010年,河北省,容城,7,31.9,22.4,147.4
1981年-2010年,河北省,容城,8,30.3,21.2,114.3
1981年-2010年,河北省,容城,9,26.6,15.5,49.4
1981年-2010年,河北省,容城,10,20,8.1,24.7
1981年-2010年,河北省,容城,11,10.5,-0.2,11.2
1981年-2010年,河北省,容城,12,3.7,-6.3,2.1
1981年-2010年,河北省,唐山,1,1.4,-7.4,3.3
1981年-2010年,河北省,唐山,2,5.9,-3.9,3.9
1981年-2010年,河北省,唐山,3,12.4,1.7,9.4
1981年-2010年,河北省,唐山,4,20.3,8.9,22.3
1981年-2010年,河北省,唐山,5,26.1,14.8,46.4
1981年-2010年,河北省,唐山,6,30,19.8,82.8
1981年-2010年,河北省,唐山,7,31.6,23.1,175
